Symbol,Date,Open,High,Low,Close,Volume
SLAC.IDX,16-Feb-2017,5691.43,5724.36,5623.57,5630.17,0
SLCN.IDX,16-Feb-2017,209.33,209.59,208.5,209.24,0
SLCT.IDX,16-Feb-2017,271.86,272.19,270.78,271.73,0
SLCU.IDX,16-Feb-2017,251.36,251.67,250.36,251.24,0
SLEE.IDX,16-Feb-2017,123.07,123.11,121.51,121.57,0
SLER.IDX,16-Feb-2017,66.74,66.76,65.89,65.93,0
SLEW.IDX,16-Feb-2017,1029.14,1029.36,1018.97,1025.52,0
SLFD.IDX,16-Feb-2017,57.14,65.3,42.85,55.1,0
SLFI.IDX,16-Feb-2017,57.14,63.26,55.1,63.26,0
SLOF.IDX,16-Feb-2017,75.51,77.55,73.46,73.46,0
SLOH.IDX,16-Feb-2017,73.46,77.55,73.46,75.51,0
SLPE.IDX,16-Feb-2017,1067.9,1068.21,1057.63,1058.82,0
SLPX.IDX,16-Feb-2017,335.6,336.46,332.32,332.68,0
SLRT.IDX,16-Feb-2017,70.72,70.75,69.82,69.86,0
SLTH.IDX,16-Feb-2017,77.55,79.59,77.55,77.55,0
SLTW.IDX,16-Feb-2017,59.18,61.22,55.1,57.14,0
SLUN.IDX,16-Feb-2017,5274.41,5284.38,5228.67,5266.06,0
SLUT.IDX,16-Feb-2017,7511.91,7557.78,7511.91,7556.93,0
SLV.IDX,16-Feb-2017,17.97,18.14,17.94,18.07,71903
SML.IDX,16-Feb-2017,857.61,858.6,850.63,856.27,272510993
SMPR.IDX,16-Feb-2017,997.62,1004.03,997.03,999.62,0
SMRW.IDX,16-Feb-2017,6364.26,6364.26,6289.36,6319.68,0
SMSS.IDX,16-Feb-2017,6566.46,6566.68,6477.23,6488.45,0
SMTI.IDX,16-Feb-2017,1169.11,1176.62,1168.42,1171.46,0
SMTR.IDX,16-Feb-2017,214.92,215.77,213.02,213.93,0
SMXT.IDX,16-Feb-2017,151.37,151.56,150.32,150.64,0
SNAC.IDX,16-Feb-2017,252.98,254.43,252.56,254.29,0
SNCH.IDX,16-Feb-2017,137.03,137.88,137.03,137.52,0
SNCT.IDX,16-Feb-2017,165.63,167.2,165.63,166.77,0
SNER.IDX,16-Feb-2017,85.99,86.03,84.77,84.82,0
SNNE.IDX,16-Feb-2017,3181.96,3183.26,3160.47,3167.29,0
SNNT.IDX,16-Feb-2017,3809.7,3820.68,3804.04,3818.63,0
SNRE.IDX,16-Feb-2017,2266.17,2268.48,2245.19,2246.38,0
SNRT.IDX,16-Feb-2017,91.12,91.16,89.83,89.88,0
SNRU.IDX,16-Feb-2017,2385.5,2391.83,2381.11,2382.09,0
SNTE.IDX,16-Feb-2017,177.11,178.7,177.11,178.21,0
SNUI.IDX,16-Feb-2017,134.24,134.3,132.34,132.41,0
SOBC.IDX,16-Feb-2017,10.87,10.95,10.63,10.66,0
SOCC.IDX,16-Feb-2017,11.51,11.6,11.3,11.36,0
SOTR.IDX,16-Feb-2017,694.33,694.52,689.81,692.84,0
SOX.IDX,16-Feb-2017,971.02,972.8,965.34,971.24,0
SP500.IDX,16-Feb-2017,2349.64,2351.31,2338.87,2347.22,2086044777
SPAA.IDX,16-Feb-2017,75.48,76.65,75.48,76.13,0
SPAB.IDX,16-Feb-2017,113.09,113.99,112.49,113,0
SPAC.IDX,16-Feb-2017,62.92,63.68,62.72,63.26,0
SPAD.IDX,16-Feb-2017,502.16,507.78,502.16,506.72,0
SPEE.IDX,16-Feb-2017,147.07,147.12,145.48,145.73,0
SPER.IDX,16-Feb-2017,516.43,522.2,516.43,521.12,0
SPEY.IDX,16-Feb-2017,130.68,130.96,130.17,130.36,0
SPFD.IDX,16-Feb-2017,91.89,91.89,51.35,62.16,0
SPFI.IDX,16-Feb-2017,86.48,86.48,70.27,70.27,0
SPIN.IDX,16-Feb-2017,268.44,271.58,268.44,269.98,0
SPIR.IDX,16-Feb-2017,223.09,225.3,223.07,223.97,0
SPLR.IDX,16-Feb-2017,762.84,770.38,762.77,765.86,0
SPOF.IDX,16-Feb-2017,81.08,81.08,72.97,72.97,0
SPOH.IDX,16-Feb-2017,67.56,67.56,59.45,64.86,0
SPPR.IDX,16-Feb-2017,929.36,933.06,928.99,931.61,0
SPRL.IDX,16-Feb-2017,140.5,140.86,139.42,139.74,0
SPRT.IDX,16-Feb-2017,885.31,895.2,885.31,893.34,0
SPSU.IDX,16-Feb-2017,546.04,546.59,543.6,545.62,0
SPTH.IDX,16-Feb-2017,67.56,67.56,59.45,59.45,0
SPTW.IDX,16-Feb-2017,97.29,97.29,78.37,78.37,0
SPUS.IDX,16-Feb-2017,187.69,188.02,187.23,187.92,0
SPX.IDX,16-Feb-2017,2349.64,2351.31,2338.87,2347.22,0
SPXT.IDX,16-Feb-2017,4503.19,4506.37,4482.61,4498.56,0
SQTR.IDX,16-Feb-2017,1417.34,1423.78,1415.44,1419.11,0
SRER.IDX,16-Feb-2017,130.73,130.73,130.42,130.42,0
SRFF.IDX,16-Feb-2017,101.95,101.95,101.95,101.95,0
SRFI.IDX,16-Feb-2017,406.46,406.58,403.21,405.89,0
SRIC.IDX,16-Feb-2017,3205.62,3234.54,3205.62,3225.12,0
SRIE.IDX,16-Feb-2017,3773.19,3784.85,3757.65,3760.74,0
SRMP.IDX,16-Feb-2017,1648.73,1669.67,1648.73,1657.54,0
SRPR.IDX,16-Feb-2017,179.27,180.64,179.02,179.99,0
SRTR.IDX,16-Feb-2017,364.53,368.7,364.53,366.09,0
SRVA.IDX,16-Feb-2017,2597.59,2597.59,2553.96,2555.68,0
SRVB.IDX,16-Feb-2017,2456.95,2458.94,2442.54,2447.16,0
SRVC.IDX,16-Feb-2017,6789.7,6789.7,6692.71,6701.4,0
SRVD.IDX,16-Feb-2017,2622.09,2624.96,2597.83,2599.27,0
SRVE.IDX,16-Feb-2017,2480.13,2497.98,2477.02,2488.9,0
SRVF.IDX,16-Feb-2017,6853.75,6859.9,6807.77,6815.7,0
SRVG.IDX,16-Feb-2017,3215.74,3218.72,3203.43,3205.35,0
SRVH.IDX,16-Feb-2017,3438.67,3448.43,3423.61,3427.89,0
SRVI.IDX,16-Feb-2017,3184.79,3185.71,3149.64,3151.57,0
SRVJ.IDX,16-Feb-2017,3400.44,3400.7,3366.94,3370.4,0
SRWI.IDX,16-Feb-2017,6803.37,6808.97,6767.74,6793.29,0
SS1E.IDX,16-Feb-2017,2510.62,2530.69,2502.32,2508.7,0
SS1J.IDX,16-Feb-2017,2231.71,2237.67,2194.44,2196.27,0
SS2E.IDX,16-Feb-2017,3250.82,3253.35,3215.84,3221.65,0
SS2J.IDX,16-Feb-2017,3286.6,3291.01,3265.95,3288.38,0
SS3E.IDX,16-Feb-2017,9775.22,9787.39,9671.46,9739.42,0
SS3J.IDX,16-Feb-2017,4402.15,4410.79,4371.23,4389.06,0
SS4E.IDX,16-Feb-2017,7113.15,7142.97,7091.32,7114.56,0
SS4J.IDX,16-Feb-2017,3426.08,3427.43,3403.39,3420.98,0
SS5E.IDX,16-Feb-2017,1270.54,1280.85,1270.27,1280.82,0
SS5J.IDX,16-Feb-2017,1100.27,1106.5,1096.48,1100.16,0
SSAE.IDX,16-Feb-2017,432.78,434.15,432.01,433.73,0
SSAI.IDX,16-Feb-2017,650.46,653.1,649.81,652.41,0
SSAU.IDX,16-Feb-2017,448.11,448.99,447.21,448.79,0
SSAX.IDX,16-Feb-2017,3918.61,3938.92,3918.31,3932.12,0
SSBE.IDX,16-Feb-2017,2690.66,2698.97,2679.58,2681.78,0
SSBR.IDX,16-Feb-2017,2299.04,2307.39,2287.65,2300.67,0
SSCA.IDX,16-Feb-2017,254.57,255.79,254.38,255.58,0
SSCB.IDX,16-Feb-2017,269.12,271,268.17,269.18,0
SSCE.IDX,16-Feb-2017,267.67,268.59,267.48,268.42,0
SSCH.IDX,16-Feb-2017,472.03,475.16,471.59,474.79,0
SSCK.IDX,16-Feb-2017,248.72,249.9,248.58,249.16,0
SSCL.IDX,16-Feb-2017,266.26,267.87,264.15,264.23,0
SSCM.IDX,16-Feb-2017,7909.49,7917.98,7874.16,7901.43,0
SSCP.IDX,16-Feb-2017,182.5,183.12,181.89,182.97,0
SSCQ.IDX,16-Feb-2017,451.64,453.85,450.76,453.29,0
SSCS.IDX,16-Feb-2017,347.74,348.83,347.36,348.55,0
SSCU.IDX,16-Feb-2017,343.02,344.3,342.66,344.05,0
SSCW.IDX,16-Feb-2017,277.5,278.4,277.33,278.22,0
SSDI.IDX,16-Feb-2017,7.88,8.11,7.88,8.11,0
SSEC.IDX,16-Feb-2017,3210.36,3230.28,3207.79,3229.62,0
SSEN.IDX,16-Feb-2017,191.55,191.56,189.55,190.07,0
SSER.IDX,16-Feb-2017,223.37,223.39,222.64,222.73,0
SSEW.IDX,16-Feb-2017,313.85,314.31,311.15,311.35,0
SSFA.IDX,16-Feb-2017,311.06,312.18,311.01,311.86,0
SSFB.IDX,16-Feb-2017,36.35,36.37,36.15,36.17,0
SSFD.IDX,16-Feb-2017,58.62,68.96,51.72,62.06,0
SSFE.IDX,16-Feb-2017,295.37,295.6,293.05,293.88,0
SSFI.IDX,16-Feb-2017,68.96,79.31,68.96,72.41,0
SSFP.IDX,16-Feb-2017,355.18,355.78,354.45,355.42,0
SSFT.IDX,16-Feb-2017,215.24,215.42,213.59,213.86,0
SSFU.IDX,16-Feb-2017,259.52,259.52,257.13,257.86,0
SSGA.IDX,16-Feb-2017,187.36,187.64,185.17,185.43,0
SSGC.IDX,16-Feb-2017,256.98,257.27,255.19,255.38,0
SSGD.IDX,16-Feb-2017,2814.92,2827.97,2814.86,2819.37,0
SSGE.IDX,16-Feb-2017,2197.12,2199.31,2172.83,2174.33,0
